word,polarity
괴로워하다,-2
괴로워하며,-2
괴롭거나,-2
괴롭거나 성가시다,-2
괴롭게,-2
괴롭게 내는,-2
괴롭게 되다,-2
괴롭게 소리를,-2
괴롭게 여기다,-2
괴롭고,-2
괴롭고 귀찮게,-2
괴롭고 귀찮다,-2
괴롭고 아픈,-2
괴롭다,-2
괴롭지 아니하여,1
괴롭히거나,-2
괴롭히거나 못살게,-2
괴롭히는,-2
괴롭히는 일,-2
괴롭히는 짓을,-2
괴롭히다,-2
괴멸,-2
괴멸되다,-2
괴멸하다,-2
괴물,-1
괴사가,-2
괴사가 일어난,-2
괴상하고,-2
괴상한,-2
괴상한 데가,-2
괴상한 일,-2
괴상한 일이,-1
괴이쩍게,-1
괴이쩍게 생각하다,-1
괴이하게,-2
괴이하게 여기다,-2
굉장하게,2
굉장하다,2
교관하다,0
교도소에 수감된,-1
교리에 밝고,2
교만하게,-1
교만하게 굶,-1
교만하고,-1
교만하다,-1
교만하여,-1
교만함,-1
교모하게 괴롭히거나,-1
교묘하게,1
교묘하고,-1
교묘하다,-1
교묘히 넘기는,-1
교양,1
교양과,1
교양이 없고,-1
교양이 없다,-1
교양이 있다,1
교양이 있어,1
교육적인,1
교제를 끊어,-1
교통을 허락하다,1
교통이 허락되다,1
교화하고,1
교활하고,-1
교활한,-1
교활한 무리들이,-1
교활한 수단을,-1
교활한 수단이나,-1
교훈,1
구경하며 즐기다,1
구구함이나 연연함이 없다,1
구김살 없이,1
구김살이 없다,1
구김살이 없이,1
구두쇠처럼,-1
구리게,-1
구박하거나,-1
구성지고,1
구속하다,-1
구속함,-1
구슬퍼질,-1
구슬퍼질 정도로,-1
구슬프고,-1
구슬프고 쓸쓸한,-2
구슬프다,-1
구슬피,-1
구역날,-2
구역날 듯하다,-2
구역이 나려는,-2
구역질,-2
구역질나는,-2
구역질나다,-2
구역질을,-2
구역질을 하는,-2
구역질이,-2
구역질이 나는,-2
구역질이 나다,-2
구역질이 나서,-2
구역질하다,-2
구원하다,1
구원한,1
구원한 일,1
구제함,1
구차스러운,-2
구차스러운 짓을,-2
구차스럽게,-2
구차스럽게 구는,-2
구차스럽게 굴다,-2
구차하여,-2
구차하지 않다,1
구토,-1
구토 증세가,-1
구토를,-1
구토를 일으키거나,-1
국내의 반란,-1
군살이 처지도록,-1
군색함,-1
군소리 없이,1
군소리를,-1
군소리를 내다,-1
군소리를 하는,-1
군소리를 하다,-1
굳게,1
굳게 맹세하다,1
굳게 믿다,1
굳고 행실이,1
굳세거나,2
굳세게,2
굳세게 함,2
굳세고,2
굳세고 야무지다,2
